"filename", "language", "Markdown", "C", "Makefile", "LinkerScript", "XML", "Log", "Batch", "C++", "Assembly", "comment", "blank", "total"
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\gnuefi\elf_aarch64_efi.lds", "LinkerScript", 0, 0, 0, 58, 0, 0, 0, 0, 0, 2, 4, 64
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\gnuefi\elf_arm_efi.lds", "LinkerScript", 0, 0, 0, 58, 0, 0, 0, 0, 0, 2, 4, 64
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\gnuefi\elf_ia32_efi.lds", "LinkerScript", 0, 0, 0, 82, 0, 0, 0, 0, 0, 3, 2, 87
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\gnuefi\elf_ia32_fbsd_efi.lds", "LinkerScript", 0, 0, 0, 82, 0, 0, 0, 0, 0, 3, 2, 87
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\gnuefi\elf_ia64_efi.lds", "LinkerScript", 0, 0, 0, 77, 0, 0, 0, 0, 0, 3, 2, 82
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\gnuefi\elf_mips64el_efi.lds", "LinkerScript", 0, 0, 0, 59, 0, 0, 0, 0, 0, 2, 4, 65
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\gnuefi\elf_x86_64_efi.lds", "LinkerScript", 0, 0, 0, 71, 0, 0, 0, 0, 0, 4, 2, 77
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\gnuefi\elf_x86_64_fbsd_efi.lds", "LinkerScript", 0, 0, 0, 65, 0, 0, 0, 0, 0, 4, 2, 71
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\gnuefi\reloc_aarch64.c", "C", 0, 49, 0, 0, 0, 0, 0, 0, 0, 36, 13, 98
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\gnuefi\reloc_arm.c", "C", 0, 49, 0, 0, 0, 0, 0, 0, 0, 36, 13, 98
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\gnuefi\reloc_ia32.c", "C", 0, 51, 0, 0, 0, 0, 0, 0, 0, 35, 14, 100
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\gnuefi\reloc_mips64el.c", "C", 0, 62, 0, 0, 0, 0, 0, 0, 0, 38, 16, 116
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\gnuefi\reloc_x86_64.c", "C", 0, 49, 0, 0, 0, 0, 0, 0, 0, 37, 13, 99
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\Makefile", "Makefile", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 9, 28
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\aarch64\efibind.h", "C++", 0, 0, 0, 0, 0, 0, 0, 82, 0, 43, 34, 159
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\aarch64\efilibplat.h", "C++", 0, 0, 0, 0, 0, 0, 0, 5, 0, 18, 3, 26
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\aarch64\efisetjmp_arch.h", "C++", 0, 0, 0, 0, 0, 0, 0, 27, 0, 2, 5, 34
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\arm\efibind.h", "C++", 0, 0, 0, 0, 0, 0, 0, 85, 0, 47, 35, 167
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\arm\efilibplat.h", "C++", 0, 0, 0, 0, 0, 0, 0, 5, 0, 18, 3, 26
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\arm\efisetjmp_arch.h", "C++", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 4, 22
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\efi.h", "C++", 0, 0, 0, 0, 0, 0, 0, 29, 0, 24, 9, 62
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\efi_nii.h", "C++", 0, 0, 0, 0, 0, 0, 0, 22, 0, 43, 14, 79
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\efi_pxe.h", "C++", 0, 0, 0, 0, 0, 0, 0, 551, 0, 855, 338, 1744
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\efiapi.h", "C++", 0, 0, 0, 0, 0, 0, 0, 643, 0, 142, 183, 968
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\eficompiler.h", "C++", 0, 0, 0, 0, 0, 0, 0, 13, 0, 14, 4, 31
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\eficon.h", "C++", 0, 0, 0, 0, 0, 0, 0, 211, 0, 43, 53, 307
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\efidebug.h", "C++", 0, 0, 0, 0, 0, 0, 0, 519, 0, 42, 60, 621
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\efidef.h", "C++", 0, 0, 0, 0, 0, 0, 0, 127, 0, 54, 40, 221
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\efidevp.h", "C++", 0, 0, 0, 0, 0, 0, 0, 400, 0, 86, 97, 583
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\efierr.h", "C++", 0, 0, 0, 0, 0, 0, 0, 42, 0, 18, 9, 69
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\efifs.h", "C++", 0, 0, 0, 0, 0, 0, 0, 54, 0, 38, 25, 117
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\efigpt.h", "C++", 0, 0, 0, 0, 0, 0, 0, 39, 0, 19, 11, 69
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\efiip.h", "C++", 0, 0, 0, 0, 0, 0, 0, 385, 0, 19, 56, 460
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\efilib.h", "C++", 0, 0, 0, 0, 0, 0, 0, 838, 0, 40, 160, 1038
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\efilink.h", "C++", 0, 0, 0, 0, 0, 0, 0, 79, 0, 70, 29, 178
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\efinet.h", "C++", 0, 0, 0, 0, 0, 0, 0, 188, 0, 100, 61, 349
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\efipart.h", "C++", 0, 0, 0, 0, 0, 0, 0, 31, 0, 20, 11, 62
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\efipciio.h", "C++", 0, 0, 0, 0, 0, 0, 0, 350, 0, 4, 46, 400
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\efipoint.h", "C++", 0, 0, 0, 0, 0, 0, 0, 78, 0, 20, 18, 116
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\efiprot.h", "C++", 0, 0, 0, 0, 0, 0, 0, 965, 0, 195, 265, 1425
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\efipxebc.h", "C++", 0, 0, 0, 0, 0, 0, 0, 351, 0, 69, 63, 483
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\efirtlib.h", "C++", 0, 0, 0, 0, 0, 0, 0, 131, 0, 21, 28, 180
"c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\efiser.h", "C++", 0, 0, 0, 0, 0, 0, 0, 96, 0, 19, 22, 137
